feature_id,latent_idx,spearman_rho,pearson_log_activation,positive_vs_zero_auroc,high_vs_weak_pair_accuracy
F137,13751,0.7437625758566497,0.8456694031399818,0.9933333333333334,1.0
F138,16515,0.49445172803184445,0.6147540267528833,0.9600000000000001,0.30000000000000004
F139,21634,0.6347077914440393,0.6767616594407111,0.9400000000000001,0.64
F140,27515,0.6939593081171186,0.7403043974210114,0.9866666666666667,0.72
F141,17827,0.5730643138106009,0.4783404249953582,0.8933333333333333,0.6
F142,26236,0.8634453444345472,0.824671795746649,0.96,0.92
F143,9893,0.2108500394746033,0.4251914178594806,0.7,0.54
F144,24876,0.4717604444245141,0.40922932132901785,0.7733333333333333,0.64
F146,8166,0.13283154295306798,0.19736448615826846,0.6799999999999999,0.4
F147,2055,0.0448842493146596,0.16475301673477158,0.6599999999999999,0.30000000000000004
F148,16131,0.6722417506614735,0.785170033630151,1.0,0.76
F150,1713,0.7333251397219667,0.7217011237137885,0.92,0.84
F151,30517,0.4062320099778882,0.47931184864338144,0.6933333333333334,0.76
F152,17556,0.7179157453148108,0.6081783776312115,0.8266666666666668,0.84
F153,17685,0.7537158812105614,0.6905163241000715,0.9533333333333334,0.76
F154,5828,0.4512846932149427,0.4539930086295774,0.8866666666666667,0.52
F155,10264,0.15387755681004003,0.07181069110945838,0.48000000000000004,0.72
F157,19483,0.1250983640902911,0.09718655286897043,0.5866666666666667,0.66
F158,6651,0.5709068892033893,0.539032151169538,0.7066666666666667,0.92
F160,11948,0.38976749009868783,0.5077291350017036,0.7333333333333334,0.62
F161,30223,0.5755225347630457,0.8455247024221981,0.6933333333333334,0.8200000000000001
F162,16736,0.7878743479962825,0.5337232485655592,0.9666666666666667,0.8
F163,4512,0.7616501145912911,0.8388318349480165,0.9600000000000001,0.84
F164,9720,0.805479496393627,0.7167082103668034,0.88,1.0
F165,29825,0.8896658140421213,0.8838524626006182,0.8799999999999999,1.0
F166,19359,0.9437300130683494,0.893725143644099,0.9933333333333334,1.0
F167,7389,0.3382702072146514,0.45026548219660073,0.8666666666666667,0.6
F168,28795,0.6044790083197265,0.6797323727415454,0.7666666666666667,0.7200000000000001
F169,4756,0.4609660001231835,0.4117361172880302,0.78,0.68
F172,29856,-0.12166511802673097,-0.11645945544571684,0.52,0.36
F173,8760,0.39255678275886724,-0.07899556288029598,0.48,1.0
F174,9578,0.2943238165653169,0.06577272872338714,0.5466666666666667,0.76
F175,16045,0.9056153916788521,0.902764054734017,0.9,0.98
F176,23464,0.8709348229775048,0.8585820319321806,0.9733333333333334,1.0
F177,7143,0.460321026528315,0.3291016827568639,0.6333333333333333,0.92
F178,17793,0.8158214426767452,0.8133838728544577,0.8333333333333333,1.0
F179,6676,0.704375739359255,0.669853890832388,0.88,0.88
