feature_id,latent_idx,spearman_rho,pearson_log_activation,positive_vs_zero_auroc,high_vs_weak_pair_accuracy
F117,2504,0.5231250559824283,0.26856158122586865,0.9199999999999999,0.6
F118,14003,0.49545333216462234,0.6053776269346838,0.7733333333333333,0.84
F119,12902,0.724087258791342,0.7558859885664292,1.0,0.66
F120,12887,0.6426880258611259,0.6491041218196755,0.8133333333333332,1.0
F121,5178,0.732574033283733,0.60259572861035,1.0,0.86
F122,6639,0.6469565736775509,0.7910171435397702,0.9666666666666667,0.56
F123,21296,0.5253092199106837,0.8196750822213655,1.0,0.52
F124,2550,0.9074836752686998,0.8488336262979578,0.9666666666666667,0.96
F125,12676,0.5781365149330016,0.4585662421995807,0.8666666666666667,0.48
F126,18714,0.8243608038657589,0.7159658152991248,1.0,0.92
F127,31422,0.33026269529083035,0.1954580256782798,0.6666666666666667,0.64
F128,32565,0.830653535882239,0.7913380090990693,1.0,1.0
F129,2416,0.8118365772709207,0.7813926668956844,1.0,0.74
F130,29947,0.780800056521053,0.8852012144763352,0.8666666666666667,0.88
F131,19364,0.8650375159134319,0.8017772175868679,0.9666666666666667,0.88
F132,29247,0.7051184110007638,0.7764025823101318,1.0,0.72
F133,29931,0.6234661378993643,0.6860857669806805,0.8666666666666667,0.84
F134,16345,0.6583409417371031,0.6633037582256691,0.8866666666666666,0.84
F135,8294,0.5353188630008016,0.5428974505784563,1.0,0.4
F136,26879,0.6131269180215694,0.55730166387479,0.8266666666666667,0.8
F137,13751,0.648763154639114,0.8151811219301924,0.9666666666666667,0.68
F138,16515,0.4321657639312535,0.6139911633683707,0.9533333333333334,0.24000000000000002
F139,21634,0.5831542668236476,0.6616727796185958,0.8933333333333334,0.66
F140,27515,0.6530490432281181,0.7151249097816783,0.96,0.76
F141,17827,0.5313615426618677,0.40529956749499985,0.8933333333333333,0.56
F142,26236,0.8410222809196602,0.8255215771387068,1.0,0.8
F143,9893,0.3508995834907128,0.5460206244693926,0.7666666666666666,0.68
F144,24876,0.45486732971153226,0.44019923527414095,0.7400000000000001,0.68
F146,8166,0.18210042418820974,0.2391653182365532,0.6666666666666666,0.48
F147,2055,0.13333715963822365,0.20150895587065412,0.7333333333333334,0.28
F148,16131,0.6887398730981362,0.8093834293140156,1.0,0.74
F150,1713,0.5952182123828,0.6023856439628589,0.88,0.78
F151,30517,0.36129617665410063,0.4586920592652245,0.6666666666666667,0.76
F152,17556,0.569644253432537,0.5872658272192075,0.7866666666666666,0.8
F153,17685,0.765606760422906,0.7164715789382674,0.9800000000000001,0.76
F154,5828,0.4195871910476672,0.43538028286965014,0.8466666666666667,0.56
F155,10264,0.30197972644525894,0.21687675341969184,0.5399999999999999,0.76
F157,19483,0.14117940879589222,0.09224359842729253,0.6133333333333334,0.68
F158,6651,0.611170854229468,0.5839718256716592,0.78,0.88
F160,11948,0.527461087378569,0.5065439415145312,0.7266666666666666,0.9
F161,30223,0.6382638289242222,0.8841864277646982,0.6266666666666666,0.9
F162,16736,0.7360894594214492,0.47901945999451745,0.9666666666666667,0.72
F163,4512,0.7944811130434534,0.8443548175676417,0.9666666666666667,0.88
F164,9720,0.8634815019290297,0.7732341057797386,0.8666666666666666,1.0
F165,29825,0.9143503226127621,0.8798380510888705,0.96,1.0
F166,19359,0.9749101555988586,0.9292205990363729,0.9666666666666667,1.0
F167,7389,0.3450381679389313,0.4835361348082464,0.8666666666666667,0.6
F168,28795,0.6615572824117483,0.6645750282406435,0.84,0.74
F169,4756,0.4865605455745953,0.44730656636439625,0.8266666666666667,0.64
F172,29856,-0.12890270565602066,-0.11212823226552075,0.5133333333333334,0.39999999999999997
F173,8760,0.3556208169012801,-0.03428719158314043,0.44,1.0
F174,9578,0.2624166129984707,0.04752076522150706,0.5066666666666667,0.74
F175,16045,0.8609131503257584,0.8897982543409174,0.8666666666666667,0.96
F176,23464,0.8796804581539799,0.8488719632402479,0.9666666666666667,1.0
F177,7143,0.393095926119477,0.2545979402806648,0.5866666666666667,0.88
F178,17793,0.8029954078349985,0.8301786621561984,0.8333333333333333,1.0
F179,6676,0.71842037591673,0.6510561348909827,0.88,0.88
F180,30870,0.7142991980847623,0.6066982690717909,0.8933333333333333,0.84
