representation,top_n,label,n_observations,n_features_mean,auc_mean,auc_std,auc_se,average_precision_mean,average_precision_std,average_precision_se,f1_mean,f1_std,f1_se,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_se
Random SAE-n,10,GI,100,10.0,0.5364046727892382,0.028358719161657376,0.0028358719161657377,0.1476043878573513,0.019663777477985627,0.0019663777477985627,0.17663661736373362,0.05437508435360245,0.005437508435360245,0.526937466789148,0.020126006745917843,0.002012600674591784
Random SAE-n,10,QUC,100,10.0,0.5408474575600506,0.032370449552508576,0.0032370449552508577,0.1633572029939239,0.02940947582498626,0.002940947582498626,0.2328234756835252,0.051220377731323714,0.005122037773132372,0.5312617815585405,0.029315195731312443,0.0029315195731312443
Random SAE-n,10,QUO,100,10.0,0.5541002131539347,0.030682804114000164,0.0030682804114000165,0.26406424246431914,0.030835659934892196,0.0030835659934892196,0.33768535794527854,0.06951507169447253,0.006951507169447253,0.5444369898504041,0.027814651570624918,0.002781465157062492
Random SAE-n,10,REC,100,10.0,0.557267970711746,0.0355157603574026,0.00355157603574026,0.20344980426998155,0.02585010363704701,0.0025850103637047013,0.2344967739262638,0.07226681548352695,0.007226681548352695,0.5479018672376224,0.029797957671939622,0.0029797957671939624
Random SAE-n,10,RES,100,10.0,0.5367743610785822,0.03253369314004192,0.003253369314004192,0.09299653148132052,0.007869538908918212,0.0007869538908918212,0.15894849464894492,0.022618659173319643,0.0022618659173319644,0.5348297304811243,0.028377903830037243,0.0028377903830037244
Random SAE-n,10,SU,100,10.0,0.5613758335282107,0.04271184572791854,0.004271184572791855,0.04332254145173337,0.016656057466713114,0.0016656057466713115,0.07165829765701816,0.023626673268338356,0.0023626673268338358,0.5488771915104491,0.03456306675534842,0.0034563066755348417
Random SAE-n,20,AF,100,20.0,0.581541916438101,0.04311004704162192,0.004311004704162192,0.07934179085357883,0.02392248215195665,0.002392248215195665,0.12081772523074846,0.022924610508088087,0.0022924610508088085,0.5627496972831009,0.03221893012797668,0.003221893012797668
Random SAE-n,20,GI,100,20.0,0.5708453653761125,0.04040848822790376,0.004040848822790375,0.16793243065663802,0.0241790243697174,0.00241790243697174,0.21274873616985168,0.04486710744953785,0.004486710744953785,0.5533454805499642,0.03378127163580662,0.003378127163580662
Random SAE-n,20,QUC,100,20.0,0.561966886133271,0.03503569508486458,0.003503569508486458,0.17180561288958074,0.026447087177369575,0.0026447087177369575,0.24449460173320425,0.03383711815614991,0.003383711815614991,0.5413218244166215,0.027760159909374475,0.0027760159909374473
Random SAE-n,20,QUO,100,20.0,0.5877590820930803,0.05432583595987655,0.005432583595987655,0.29608571109684645,0.06150168543428545,0.0061501685434285445,0.38517706569778704,0.05521773581019819,0.005521773581019819,0.5674428882504519,0.045498439857381306,0.0045498439857381305
Random SAE-n,20,REC,100,20.0,0.6036847337834338,0.05519773927035374,0.005519773927035374,0.24638233143635607,0.05217193874279413,0.005217193874279413,0.3020150695946975,0.06394731364771374,0.0063947313647713735,0.5815404299175071,0.045071582035637034,0.004507158203563703
Random SAE-n,20,RES,100,20.0,0.5645596397546221,0.04227006302810142,0.004227006302810142,0.10272277869041291,0.014988634263056988,0.0014988634263056989,0.16911018726610533,0.01725960803560937,0.0017259608035609369,0.553672165746585,0.035781269464582675,0.0035781269464582677
Random SAE-n,20,SU,100,20.0,0.5955813550654502,0.06247843914462196,0.0062478439144621955,0.05895046812020952,0.03320607258026229,0.0033206072580262294,0.07227126707502944,0.02240736231848272,0.002240736231848272,0.5689784969819249,0.05178762869941829,0.005178762869941829
Random SAE-n,50,AF,100,50.0,0.6579542082575449,0.05743136836979652,0.0057431368369796525,0.1204035491293988,0.05475344380033877,0.005475344380033878,0.14056039652614571,0.022963259434858375,0.0022963259434858373,0.6148083158440699,0.0439069640497665,0.004390696404976651
Random SAE-n,50,GI,100,50.0,0.6107462389140857,0.03726466190999584,0.003726466190999584,0.1995363899171891,0.03329220686392434,0.003329220686392434,0.2522357601383709,0.02780378018762229,0.0027803780187622288,0.5794229795677929,0.028288778310497552,0.002828877831049755
Random SAE-n,50,QUC,100,50.0,0.6053555120326197,0.04340375421989282,0.0043403754219892825,0.20306537669762104,0.04212389130341981,0.004212389130341981,0.2733587037525144,0.03171681062012279,0.003171681062012279,0.5761838158201407,0.03587736652135795,0.0035877366521357952
Random SAE-n,50,QUO,100,50.0,0.6643298017492623,0.05303809736370149,0.005303809736370149,0.3870944372958401,0.08352892702133491,0.008352892702133491,0.4295348649837301,0.05354025899737695,0.005354025899737695,0.6190654819626376,0.046318068715910536,0.004631806871591053
Random SAE-n,50,REC,100,50.0,0.6834418924202478,0.04303999267892881,0.004303999267892881,0.32271305036734693,0.05084086246419231,0.005084086246419231,0.3740531947276734,0.04098032673988393,0.004098032673988393,0.6364268370661652,0.03462964334619579,0.003462964334619579
Random SAE-n,50,RES,100,50.0,0.6090257051484507,0.04283116515168269,0.004283116515168269,0.12008653892409617,0.020969993413623534,0.0020969993413623533,0.18467654604439296,0.01688256966649453,0.001688256966649453,0.5847082313873992,0.03291502504820891,0.003291502504820891
Random SAE-n,50,SU,100,50.0,0.6775736478610367,0.06293029169293736,0.006293029169293736,0.08454559215983724,0.03968323476515716,0.003968323476515716,0.08627299215105876,0.01566669326652835,0.0015666693266528351,0.6272382970313436,0.052356736663375265,0.0052356736663375265
Random SAE-n,100,AF,100,100.0,0.7275339898456097,0.04845055146694394,0.0048450551466943945,0.16393001923299402,0.06232867644512254,0.006232867644512254,0.17794791750826225,0.0317975076523763,0.00317975076523763,0.6752404517998513,0.04421981987186108,0.004421981987186107
Random SAE-n,100,GI,100,100.0,0.660813502310189,0.028415355132307727,0.0028415355132307726,0.25036261183898323,0.035385859573112625,0.0035385859573112627,0.28768671049386796,0.025135382925420398,0.0025135382925420397,0.6166890661322004,0.025164403842752515,0.0025164403842752514
Random SAE-n,100,QUC,100,100.0,0.6670396728330386,0.03931660602224466,0.0039316606022244665,0.2709496237791815,0.054554786168959084,0.005455478616895908,0.3100061816750417,0.03317032038416128,0.003317032038416128,0.6192560051459969,0.03220199364587802,0.003220199364587802
Random SAE-n,100,QUO,100,100.0,0.7264928019723317,0.045686114028846384,0.004568611402884638,0.46375398148372166,0.08063924029060952,0.008063924029060952,0.47948810609868675,0.04710312415798978,0.004710312415798978,0.666373010972722,0.038691851767007325,0.0038691851767007324
Random SAE-n,100,REC,100,100.0,0.7274401076526985,0.04248274573037742,0.004248274573037742,0.37085870372495827,0.0577528628011891,0.00577528628011891,0.41428854020341666,0.04078304176869894,0.004078304176869893,0.6720084132154466,0.0353454905943695,0.00353454905943695
Random SAE-n,100,RES,100,100.0,0.6520361890595785,0.04223858150382525,0.004223858150382525,0.1424018641482926,0.025262130461943866,0.0025262130461943867,0.2061414611696346,0.021413605227864507,0.0021413605227864506,0.6168842701223004,0.03624601219916775,0.003624601219916775
Random SAE-n,100,SU,100,100.0,0.7317900311419412,0.05592146813896016,0.005592146813896016,0.11216759260363021,0.057451954734706386,0.005745195473470638,0.1194862730565801,0.03291265805819765,0.0032912658058197653,0.6775894380451852,0.05576406013568016,0.0055764060135680155
Random SAE-n,200,AF,100,200.0,0.767434126234547,0.03740586808671846,0.0037405868086718462,0.21627952390355282,0.06726978466957716,0.006726978466957715,0.22498829966078904,0.033978077972225025,0.0033978077972225025,0.7096012459607308,0.03486743520514526,0.0034867435205145256
