label,latent_idx,final_selected,selection_count,selection_frequency,mean_selected_step,candidate_order,candidate_source,edge_type,stable_edge,positive_support,negative_boundary,association_rank,directional_auc,abs_cohens_d,formal_edge_weight
RES,5418,False,0,0.0,,187,filtered_top200,filtered_topk,False,False,False,187,0.53277135,0.24005277,0.0
RES,28270,False,0,0.0,,188,filtered_top200,filtered_topk,False,False,False,188,0.5107507,0.23973273,0.0
RES,2013,True,2,0.4,12.0,189,filtered_top200,filtered_topk,False,False,False,189,0.5165981,0.23965427,0.0
RES,30148,False,0,0.0,,190,filtered_top200,filtered_topk,False,False,False,190,0.5423013,0.23960368,0.0
RES,19930,False,0,0.0,,191,filtered_top200,filtered_topk,False,False,False,191,0.53096163,0.23849688,0.0
RES,32535,False,0,0.0,,192,filtered_top200,filtered_topk,False,False,False,192,0.5365766,0.23829022,0.0
RES,13303,True,2,0.4,12.5,193,filtered_top200,filtered_topk,False,False,False,193,0.531536,0.23779857,0.0
RES,8199,False,0,0.0,,194,filtered_top200,filtered_topk,False,False,False,194,0.5682578,0.23759156,0.0
RES,6885,False,0,0.0,,195,filtered_top200,filtered_topk,False,False,False,195,0.5248805,0.237448,0.0
RES,17789,False,0,0.0,,196,filtered_top200,filtered_topk,False,False,False,196,0.5120385,0.23730178,0.0
RES,5663,False,1,0.2,16.0,197,filtered_top200,filtered_topk,False,False,False,197,0.56138426,0.23729292,0.0
RES,25687,False,0,0.0,,198,filtered_top200,filtered_topk,False,False,False,198,0.5335329,0.23716988,0.0
RES,19039,False,0,0.0,,199,filtered_top200,filtered_topk,False,False,False,199,0.5789691,0.23630925,0.0
RES,1291,False,0,0.0,,200,filtered_top200,filtered_topk,False,False,False,200,0.55164456,0.23628329,0.0
REC,31133,False,1,0.2,4.0,1,filtered_top200,filtered_topk,False,False,False,1,0.60939044,0.86524636,0.0
REC,20436,True,4,0.8,7.0,2,filtered_top200,filtered_topk,False,False,False,2,0.60244334,0.85400176,0.0
REC,26800,True,2,0.4,3.0,3,filtered_top200,filtered_topk,False,False,False,3,0.62279487,0.8390925,0.0
REC,3993,False,0,0.0,,4,filtered_top200,filtered_topk,False,False,False,4,0.62348354,0.82198966,0.0
REC,30224,False,0,0.0,,5,filtered_top200,filtered_topk,False,False,False,5,0.6499543,0.8108539,0.0
REC,16292,False,1,0.2,3.0,6,filtered_top200,filtered_topk,False,False,False,6,0.6175114,0.81069833,0.0
REC,29759,True,2,0.4,2.5,7,filtered_top200,filtered_topk,False,False,False,7,0.6955452,0.80312824,0.0
