label,latent_idx,n_positive,n_negative,prevalence,pos_mean,neg_mean,mean_diff,cohens_d,abs_cohens_d,auc,directional_auc,auc_effect,p_value,significant_fdr,precision_at_10,precision_lift_at_10,precision_at_50,precision_lift_at_50,association_rank,stable_edge,positive_support,negative_boundary,edge_type,formal_edge_weight,candidate_source,candidate_order
RES,16256,416,4602,0.082901554404145,0.26699594,0.42848855,-0.16149262,-0.29771364,0.29771364,0.422249,0.57775104,0.15550202,4.379934e-11,True,0.0,-0.08290155,0.06,-0.022901554,67,False,False,False,filtered_topk,0.0,filtered_top200,67
RES,8658,416,4602,0.082901554404145,0.0063476562,0.1295696,-0.12322195,-0.29640993,0.29640993,0.45498455,0.54501545,0.09003091,0.0,True,0.0,-0.08290155,0.0,-0.08290155,68,False,False,False,filtered_topk,0.0,filtered_top200,68
RES,3459,416,4602,0.082901554404145,0.0194843,0.1416631,-0.12217881,-0.29580614,0.29580614,0.4437828,0.5562172,0.11243439,4.2329603e-21,True,0.1,0.01709845,0.02,-0.06290156,69,False,False,False,filtered_topk,0.0,filtered_top200,69
RES,29191,416,4602,0.082901554404145,0.02289288,0.1487367,-0.12584382,-0.29516166,0.29516166,0.447848,0.55215204,0.104304016,0.0,True,0.0,-0.08290155,0.0,-0.08290155,70,False,False,False,filtered_topk,0.0,filtered_top200,70
RES,19079,416,4602,0.082901554404145,0.06731239,0.018346727,0.048965663,0.29480442,0.29480442,0.5238021,0.5238021,0.047604203,0.0024722116,True,0.4,0.31709844,0.2,0.11709845,71,False,False,False,filtered_topk,0.0,filtered_top200,71
RES,6623,416,4602,0.082901554404145,0.00794396,0.07417504,-0.06623108,-0.29411516,0.29411516,0.452044,0.547956,0.09591198,0.0,True,0.0,-0.08290155,0.0,-0.08290155,72,False,False,False,filtered_topk,0.0,filtered_top200,72
RES,11169,416,4602,0.082901554404145,0.087336615,0.19238026,-0.10504365,-0.29369694,0.29369694,0.43421572,0.5657843,0.13156855,4.330739e-14,True,0.0,-0.08290155,0.02,-0.06290156,73,False,False,False,filtered_topk,0.0,filtered_top200,73
RES,31701,416,4602,0.082901554404145,0.08255709,0.31101924,-0.22846216,-0.2929698,0.2929698,0.44843352,0.5515665,0.10313296,1.0126589999999999e-20,True,0.0,-0.08290155,0.0,-0.08290155,74,False,False,False,filtered_topk,0.0,filtered_top200,74
RES,27859,416,4602,0.082901554404145,0.10775522,0.05336844,0.05438678,0.29276666,0.29276666,0.55473083,0.55473083,0.109461665,1.4426652e-06,True,0.0,-0.08290155,0.06,-0.022901554,75,False,False,False,filtered_topk,0.0,filtered_top200,75
RES,22285,416,4602,0.082901554404145,0.020221416,0.09638175,-0.07616034,-0.29257026,0.29257026,0.44769806,0.55230194,0.10460389,1.4794991e-25,True,0.0,-0.08290155,0.02,-0.06290156,76,False,False,False,filtered_topk,0.0,filtered_top200,76
RES,23990,416,4602,0.082901554404145,0.0948815,0.20257327,-0.10769177,-0.2908804,0.2908804,0.43459913,0.56540084,0.13080174,5.1055687e-14,True,0.0,-0.08290155,0.02,-0.06290156,77,False,False,False,filtered_topk,0.0,filtered_top200,77
RES,5860,416,4602,0.082901554404145,0.12689678,0.241539,-0.11464222,-0.29043242,0.29043242,0.43460226,0.56539774,0.13079548,2.3667065e-13,True,0.0,-0.08290155,0.02,-0.06290156,78,False,False,False,filtered_topk,0.0,filtered_top200,78
RES,8023,416,4602,0.082901554404145,0.03163499,0.005207909,0.02642708,0.28977636,0.28977636,0.50870544,0.50870544,0.017410874,0.009896442,True,0.6,0.5170985,0.22,0.13709845,79,False,False,False,filtered_topk,0.0,filtered_top200,79
RES,19892,416,4602,0.082901554404145,0.060715895,0.016624056,0.04409184,0.28930512,0.28930512,0.51286364,0.51286364,0.025727272,0.0039250874,True,0.6,0.5170985,0.26,0.17709844,80,False,False,False,filtered_topk,0.0,filtered_top200,80
RES,2706,416,4602,0.082901554404145,0.021235539,0.13052876,-0.10929322,-0.2885911,0.2885911,0.445459,0.554541,0.10908198,2.1034532999999999e-23,True,0.0,-0.08290155,0.04,-0.042901553,81,False,False,False,filtered_topk,0.0,filtered_top200,81
RES,31813,416,4602,0.082901554404145,0.09053392,0.23382667,-0.14329275,-0.28841966,0.28841966,0.4408668,0.5591332,0.1182664,4.1615615e-17,True,0.0,-0.08290155,0.0,-0.08290155,82,False,False,False,filtered_topk,0.0,filtered_top200,82
RES,6349,416,4602,0.082901554404145,0.033015326,0.007381302,0.025634024,0.28840327,0.28840327,0.5157804,0.5157804,0.03156078,0.0016888736,True,0.3,0.21709846,0.3,0.21709846,83,False,False,False,filtered_topk,0.0,filtered_top200,83
RES,31956,416,4602,0.082901554404145,0.025184045,0.0895959,-0.064411856,-0.28526288,0.28526288,0.45299911,0.5470009,0.09400177,2.1589383e-19,True,0.0,-0.08290155,0.0,-0.08290155,84,False,False,False,filtered_topk,0.0,filtered_top200,84
RES,9888,416,4602,0.082901554404145,0.099703275,0.20658945,-0.10688617,-0.28469947,0.28469947,0.43948832,0.5605117,0.12102336,2.0380605e-14,True,0.0,-0.08290155,0.02,-0.06290156,85,False,False,False,filtered_topk,0.0,filtered_top200,85
RES,14836,416,4602,0.082901554404145,0.005953275,0.00043798893,0.0055152862,0.2846358,0.2846358,0.50666827,0.50666827,0.013336539,0.026576858,False,0.5,0.41709846,0.24,0.15709844,86,False,False,False,filtered_topk,0.0,filtered_top200,86
RES,32273,416,4602,0.082901554404145,0.08890944,0.22633289,-0.13742346,-0.28437948,0.28437948,0.4292281,0.57077193,0.1415438,6.0182775e-14,True,0.1,0.01709845,0.06,-0.022901554,87,False,False,False,filtered_topk,0.0,filtered_top200,87
RES,30030,416,4602,0.082901554404145,0.016817532,0.09731588,-0.080498345,-0.28374332,0.28374332,0.4526925,0.5473075,0.09461498,2.097647e-28,True,0.0,-0.08290155,0.0,-0.08290155,88,False,False,False,filtered_topk,0.0,filtered_top200,88
RES,21203,416,4602,0.082901554404145,0.008807843,0.0821191,-0.073311254,-0.2825562,0.2825562,0.45238248,0.54761755,0.09523505,5.977921e-29,True,0.0,-0.08290155,0.02,-0.06290156,89,False,False,False,filtered_topk,0.0,filtered_top200,89
RES,28548,416,4602,0.082901554404145,0.16310471,0.37864056,-0.21553585,-0.28106523,0.28106523,0.4360544,0.5639456,0.12789118,4.8296606e-11,True,0.2,0.11709845,0.1,0.01709845,90,False,False,False,filtered_topk,0.0,filtered_top200,90
RES,846,416,4602,0.082901554404145,0.017066369,0.0032238022,0.013842567,0.27933088,0.27933088,0.51279336,0.51279336,0.025586724,0.004024679,True,0.3,0.21709846,0.28,0.19709845,91,False,False,False,filtered_topk,0.0,filtered_top200,91
RES,26485,416,4602,0.082901554404145,0.25369966,0.39331236,-0.1396127,-0.27907994,0.27907994,0.43370774,0.5662923,0.13258451,1.0287139e-12,True,0.0,-0.08290155,0.0,-0.08290155,92,False,False,False,filtered_topk,0.0,filtered_top200,92
RES,19038,416,4602,0.082901554404145,0.026789738,0.18134949,-0.15455975,-0.2786707,0.2786707,0.449672,0.550328,0.10065597,7.337065999999999e-24,True,0.1,0.01709845,0.02,-0.06290156,93,False,False,False,filtered_topk,0.0,filtered_top200,93
RES,23888,416,4602,0.082901554404145,0.23154391,0.42735708,-0.19581316,-0.2783293,0.2783293,0.4336858,0.5663142,0.13262838,9.8742556e-11,True,0.0,-0.08290155,0.08,-0.002901554,94,False,False,False,filtered_topk,0.0,filtered_top200,94
RES,2342,416,4602,0.082901554404145,0.03309514,0.11998944,-0.0868943,-0.27826515,0.27826515,0.44962814,0.5503719,0.10074371,3.259148e-21,True,0.0,-0.08290155,0.0,-0.08290155,95,False,False,False,filtered_topk,0.0,filtered_top200,95
RES,10913,416,4602,0.082901554404145,0.04007662,0.011434397,0.028642224,0.27771166,0.27771166,0.5161181,0.5161181,0.03223622,0.0019653891,True,0.3,0.21709846,0.3,0.21709846,96,False,False,False,filtered_topk,0.0,filtered_top200,96
RES,22903,416,4602,0.082901554404145,0.029747596,0.20992783,-0.18018024,-0.27721953,0.27721953,0.43063426,0.56936574,0.13873148,1.7654951999999997e-37,True,0.0,-0.08290155,0.0,-0.08290155,97,False,False,False,filtered_topk,0.0,filtered_top200,97
RES,25414,416,4602,0.082901554404145,0.16058819,0.29937604,-0.13878785,-0.27657002,0.27657002,0.43446672,0.5655333,0.13106656,1.5557167e-11,True,0.0,-0.08290155,0.04,-0.042901553,98,False,False,False,filtered_topk,0.0,filtered_top200,98
RES,24984,416,4602,0.082901554404145,0.06531231,0.16300446,-0.09769215,-0.2763381,0.2763381,0.44310635,0.55689365,0.11378729,5.2088075e-15,True,0.0,-0.08290155,0.02,-0.06290156,99,False,False,False,filtered_topk,0.0,filtered_top200,99
RES,21859,416,4602,0.082901554404145,0.001539964,0.041905608,-0.040365644,-0.27541113,0.27541113,0.46108872,0.5389113,0.077822566,0.0,True,0.0,-0.08290155,0.0,-0.08290155,100,False,False,False,filtered_topk,0.0,filtered_top200,100
RES,27508,416,4602,0.082901554404145,0.04311899,0.17304,-0.12992102,-0.2748028,0.2748028,0.44630054,0.5536995,0.10739893,2.7369906e-16,True,0.0,-0.08290155,0.06,-0.022901554,101,False,False,False,filtered_topk,0.0,filtered_top200,101
RES,9993,416,4602,0.082901554404145,0.66399676,0.8229099,-0.15891314,-0.27392828,0.27392828,0.41823944,0.5817605,0.16352111,2.630398e-08,True,0.0,-0.08290155,0.02,-0.06290156,102,False,False,False,filtered_topk,0.0,filtered_top200,102
RES,14875,416,4602,0.082901554404145,0.29402044,0.19676398,0.09725647,0.2728592,0.2728592,0.556457,0.556457,0.112913966,1.8950893e-06,True,0.1,0.01709845,0.08,-0.002901554,103,False,False,False,filtered_topk,0.0,filtered_top200,103
RES,26391,416,4602,0.082901554404145,0.017085148,0.12540065,-0.1083155,-0.27257702,0.27257702,0.45093557,0.5490644,0.098128855,1.6413748000000002e-38,True,0.0,-0.08290155,0.0,-0.08290155,104,False,False,False,filtered_topk,0.0,filtered_top200,104
